Litter_Bag_ID,Plot_ID,Microbe_Origin,Litter_Origin,Collection_Date,Lab_Group
11C31,,,,2011-11-14,Steve Allison
11C32,,,,2011-11-14,Steve Allison
11C33,,,,2011-11-14,Steve Allison
11C34,,,,2011-11-14,Steve Allison
12C11,,,,2012-03-05,Steve Allison
12C12,,,,2012-03-05,Steve Allison
12C13,,,,2012-03-05,Steve Allison
12C14,,,,2012-03-05,Steve Allison
RX1,,,RX,2010-12-15,Steve Allison
RX2,,,RX,2010-12-15,Steve Allison
RX3,,,RX,2010-12-15,Steve Allison
RX4,,,RX,2010-12-15,Steve Allison
RX5,,,RX,2010-12-15,Steve Allison
RX6,,,RX,2010-12-15,Steve Allison
RX7,,,RX,2010-12-15,Steve Allison
RX8,,,RX,2010-12-15,Steve Allison
RX9,,,RX,2010-12-15,Steve Allison
RX10,,,RX,2010-12-15,Steve Allison
XN1,,,XN,2010-12-15,Steve Allison
XN2,,,XN,2010-12-15,Steve Allison
XN3,,,XN,2010-12-15,Steve Allison
XN4,,,XN,2010-12-15,Steve Allison
XN5,,,XN,2010-12-15,Steve Allison
XN6,,,XN,2010-12-15,Steve Allison
XN7,,,XN,2010-12-15,Steve Allison
XN8,,,XN,2010-12-15,Steve Allison
XN9,,,XN,2010-12-15,Steve Allison
XN10,,,XN,2010-12-15,Steve Allison
XX1,,,XX,2010-12-15,Steve Allison
XX2,,,XX,2010-12-15,Steve Allison
XX3,,,XX,2010-12-15,Steve Allison
XX4,,,XX,2010-12-15,Steve Allison
XX5,,,XX,2010-12-15,Steve Allison
XX6,,,XX,2010-12-15,Steve Allison
XX7,,,XX,2010-12-15,Steve Allison
XX8,,,XX,2010-12-15,Steve Allison
XX9,,,XX,2010-12-15,Steve Allison
XX10,,,XX,2010-12-15,Steve Allison
11ALA1A,G01LXN,XX,XX,2011-03-03,Steve Allison
11ALA1B,G01LXN,XN,XX,2011-03-03,Steve Allison
11ALB1A,G01LXN,XX,XN,2011-03-03,Steve Allison
11ALB1B,G01LXN,XN,XN,2011-03-03,Steve Allison
11ARA1A,G01RXX,XX,XX,2011-03-03,Steve Allison
11ARA1B,G01RXX,XN,XX,2011-03-03,Steve Allison
11ARA1C,G01RXX,RX,XX,2011-03-03,Steve Allison
11ARB1A,G01RXX,XX,XN,2011-03-03,Steve Allison
11ARB1B,G01RXX,XN,XN,2011-03-03,Steve Allison
11ARC1A,G01RXX,XX,RX,2011-03-03,Steve Allison
11ARC1C,G01RXX,RX,RX,2011-03-03,Steve Allison
11CLA1A,G03LRX,XX,XX,2011-03-03,Steve Allison
11CLA1C,G03LRX,RX,XX,2011-03-03,Steve Allison
11CLC1A,G03LRX,XX,RX,2011-03-03,Steve Allison
11CLC1C,G03LRX,RX,RX,2011-03-03,Steve Allison
11DLA1A,G04LXX,XX,XX,2011-03-03,Steve Allison
11DLA1B,G04LXX,XN,XX,2011-03-03,Steve Allison
11DLA1C,G04LXX,RX,XX,2011-03-03,Steve Allison
11DLB1A,G04LXX,XX,XN,2011-03-03,Steve Allison
11DLB1B,G04LXX,XN,XN,2011-03-03,Steve Allison
11DLC1A,G04LXX,XX,RX,2011-03-03,Steve Allison
11DLC1C,G04LXX,RX,RX,2011-03-03,Steve Allison
11DRA1A,G04RXN,XX,XX,2011-03-03,Steve Allison
11DRA1B,G04RXN,XN,XX,2011-03-03,Steve Allison
11DRB1A,G04RXN,XX,XN,2011-03-03,Steve Allison
11DRB1B,G04RXN,XN,XN,2011-03-03,Steve Allison
11ERA1A,G05RRX,XX,XX,2011-03-03,Steve Allison
11ERA1C,G05RRX,RX,XX,2011-03-03,Steve Allison
11ERC1A,G05RRX,XX,RX,2011-03-03,Steve Allison
11ERC1C,G05RRX,RX,RX,2011-03-03,Steve Allison
11GLA1A,G07LRX,XX,XX,2011-03-03,Steve Allison
11GLA1C,G07LRX,RX,XX,2011-03-03,Steve Allison
11GLC1A,G07LRX,XX,RX,2011-03-03,Steve Allison
11GLC1C,G07LRX,RX,RX,2011-03-03,Steve Allison
11HLA1A,G08LXX,XX,XX,2011-03-03,Steve Allison
11HLA1B,G08LXX,XN,XX,2011-03-03,Steve Allison
11HLA1C,G08LXX,RX,XX,2011-03-03,Steve Allison
11HLB1A,G08LXX,XX,XN,2011-03-03,Steve Allison
11HLB1B,G08LXX,XN,XN,2011-03-03,Steve Allison
11HLC1A,G08LXX,XX,RX,2011-03-03,Steve Allison
11HLC1C,G08LXX,RX,RX,2011-03-03,Steve Allison
11HRA1A,G08RXN,XX,XX,2011-03-03,Steve Allison
11HRA1B,G08RXN,XN,XX,2011-03-03,Steve Allison
11HRB1A,G08RXN,XX,XN,2011-03-03,Steve Allison
11HRB1B,G08RXN,XN,XN,2011-03-03,Steve Allison
11JRA1A,G11RRX,XX,XX,2011-03-03,Steve Allison
11JRA1C,G11RRX,RX,XX,2011-03-03,Steve Allison
11JRC1A,G11RRX,XX,RX,2011-03-03,Steve Allison
11JRC1C,G11RRX,RX,RX,2011-03-03,Steve Allison
11KLA1A,G12LXN,XX,XX,2011-03-03,Steve Allison
11KLA1B,G12LXN,XN,XX,2011-03-03,Steve Allison
11KLB1A,G12LXN,XX,XN,2011-03-03,Steve Allison
11KLB1B,G12LXN,XN,XN,2011-03-03,Steve Allison
11KRA1A,G12RXX,XX,XX,2011-03-03,Steve Allison
11KRA1B,G12RXX,XN,XX,2011-03-03,Steve Allison
11KRA1C,G12RXX,RX,XX,2011-03-03,Steve Allison
11KRB1A,G12RXX,XX,XN,2011-03-03,Steve Allison
11KRB1B,G12RXX,XN,XN,2011-03-03,Steve Allison
11KRC1A,G12RXX,XX,RX,2011-03-03,Steve Allison
11KRC1C,G12RXX,RX,RX,2011-03-03,Steve Allison
11MRA1A,G14RRX,XX,XX,2011-03-03,Steve Allison
11MRA1C,G14RRX,RX,XX,2011-03-03,Steve Allison
11MRC1A,G14RRX,XX,RX,2011-03-03,Steve Allison
11MRC1C,G14RRX,RX,RX,2011-03-03,Steve Allison
11NRA1A,G15RRX,XX,XX,2011-03-03,Steve Allison
11NRA1C,G15RRX,RX,XX,2011-03-03,Steve Allison
11NRC1A,G15RRX,XX,RX,2011-03-03,Steve Allison
11NRC1C,G15RRX,RX,RX,2011-03-03,Steve Allison
11OLA1A,G16LXN,XX,XX,2011-03-03,Steve Allison
11OLA1B,G16LXN,XN,XX,2011-03-03,Steve Allison
11OLB1A,G16LXN,XX,XN,2011-03-03,Steve Allison
11OLB1B,G16LXN,XN,XN,2011-03-03,Steve Allison
11ORA1A,G16RXX,XX,XX,2011-03-03,Steve Allison
11ORA1B,G16RXX,XN,XX,2011-03-03,Steve Allison
11ORA1C,G16RXX,RX,XX,2011-03-03,Steve Allison
11ORB1A,G16RXX,XX,XN,2011-03-03,Steve Allison
11ORB1B,G16RXX,XN,XN,2011-03-03,Steve Allison
11ORC1A,G16RXX,XX,RX,2011-03-03,Steve Allison
11ORC1C,G16RXX,RX,RX,2011-03-03,Steve Allison
11QLA1A,G18LXN,XX,XX,2011-03-03,Steve Allison
11QLA1B,G18LXN,XN,XX,2011-03-03,Steve Allison
11QLB1A,G18LXN,XX,XN,2011-03-03,Steve Allison
11QLB1B,G18LXN,XN,XN,2011-03-03,Steve Allison
11QRA1A,G18RXX,XX,XX,2011-03-03,Steve Allison
11QRA1B,G18RXX,XN,XX,2011-03-03,Steve Allison
11QRA1C,G18RXX,RX,XX,2011-03-03,Steve Allison
11QRB1A,G18RXX,XX,XN,2011-03-03,Steve Allison
11QRB1B,G18RXX,XN,XN,2011-03-03,Steve Allison
11QRC1A,G18RXX,XX,RX,2011-03-03,Steve Allison
11QRC1C,G18RXX,RX,RX,2011-03-03,Steve Allison
11RLA1A,G19LXX,XX,XX,2011-03-03,Steve Allison
11RLA1B,G19LXX,XN,XX,2011-03-03,Steve Allison
11RLA1C,G19LXX,RX,XX,2011-03-03,Steve Allison
11RLB1A,G19LXX,XX,XN,2011-03-03,Steve Allison
11RLB1B,G19LXX,XN,XN,2011-03-03,Steve Allison
11RLC1A,G19LXX,XX,RX,2011-03-03,Steve Allison
11RLC1C,G19LXX,RX,RX,2011-03-03,Steve Allison
11RRA1A,G19RXN,XX,XX,2011-03-03,Steve Allison
11RRA1B,G19RXN,XN,XX,2011-03-03,Steve Allison
11RRB1A,G19RXN,XX,XN,2011-03-03,Steve Allison
11RRB1B,G19RXN,XN,XN,2011-03-03,Steve Allison
11SLA1A,G20LRX,XX,XX,2011-03-03,Steve Allison
11SLA1C,G20LRX,RX,XX,2011-03-03,Steve Allison
11SLC1A,G20LRX,XX,RX,2011-03-03,Steve Allison
11SLC1C,G20LRX,RX,RX,2011-03-03,Steve Allison
11TLA1A,G21LRX,XX,XX,2011-03-03,Steve Allison
11TLA1C,G21LRX,RX,XX,2011-03-03,Steve Allison
11TLC1A,G21LRX,XX,RX,2011-03-03,Steve Allison
11TLC1C,G21LRX,RX,RX,2011-03-03,Steve Allison
11ULA1A,G22LXX,XX,XX,2011-03-03,Steve Allison
11ULA1B,G22LXX,XN,XX,2011-03-03,Steve Allison
11ULA1C,G22LXX,RX,XX,2011-03-03,Steve Allison
11ULB1A,G22LXX,XX,XN,2011-03-03,Steve Allison
11ULB1B,G22LXX,XN,XN,2011-03-03,Steve Allison
11ULC1A,G22LXX,XX,RX,2011-03-03,Steve Allison
11ULC1C,G22LXX,RX,RX,2011-03-03,Steve Allison
11URA1A,G22RXN,XX,XX,2011-03-03,Steve Allison
11URA1B,G22RXN,XN,XX,2011-03-03,Steve Allison
11URB1A,G22RXN,XX,XN,2011-03-03,Steve Allison
11URB1B,G22RXN,XN,XN,2011-03-03,Steve Allison
11ALA2A,G01LXN,XX,XX,2011-06-14,Steve Allison
11ALA2B,G01LXN,XN,XX,2011-06-14,Steve Allison
11ALB2A,G01LXN,XX,XN,2011-06-14,Steve Allison
11ALB2B,G01LXN,XN,XN,2011-06-14,Steve Allison
11ARA2A,G01RXX,XX,XX,2011-06-14,Steve Allison
11ARA2B,G01RXX,XN,XX,2011-06-14,Steve Allison
11ARA2C,G01RXX,RX,XX,2011-06-14,Steve Allison
11ARB2A,G01RXX,XX,XN,2011-06-14,Steve Allison
11ARB2B,G01RXX,XN,XN,2011-06-14,Steve Allison
11ARC2A,G01RXX,XX,RX,2011-06-14,Steve Allison
11ARC2C,G01RXX,RX,RX,2011-06-14,Steve Allison
11CLA2A,G03LRX,XX,XX,2011-06-14,Steve Allison
11CLA2C,G03LRX,RX,XX,2011-06-14,Steve Allison
11CLC2A,G03LRX,XX,RX,2011-06-14,Steve Allison
11CLC2C,G03LRX,RX,RX,2011-06-14,Steve Allison
11DLA2A,G04LXX,XX,XX,2011-06-14,Steve Allison
11DLA2B,G04LXX,XN,XX,2011-06-14,Steve Allison
11DLA2C,G04LXX,RX,XX,2011-06-14,Steve Allison
11DLB2A,G04LXX,XX,XN,2011-06-14,Steve Allison
11DLB2B,G04LXX,XN,XN,2011-06-14,Steve Allison
11DLC2A,G04LXX,XX,RX,2011-06-14,Steve Allison
11DLC2C,G04LXX,RX,RX,2011-06-14,Steve Allison
11DRA2A,G04RXN,XX,XX,2011-06-14,Steve Allison
11DRA2B,G04RXN,XN,XX,2011-06-14,Steve Allison
11DRB2A,G04RXN,XX,XN,2011-06-14,Steve Allison
11DRB2B,G04RXN,XN,XN,2011-06-14,Steve Allison
11ERA2A,G05RRX,XX,XX,2011-06-14,Steve Allison
11ERA2C,G05RRX,RX,XX,2011-06-14,Steve Allison
11ERC2A,G05RRX,XX,RX,2011-06-14,Steve Allison
