Litter_Bag_ID,Variable,Value,Protocol_ID,Units,Lab_Group
11ALA1A,FullBag,9.09,ProcessLitterbags,g,Steve Allison
11ALA1B,FullBag,8.24,ProcessLitterbags,g,Steve Allison
11ALA2A,FullBag,6.574,ProcessLitterbags,g,Steve Allison
11ALA2B,FullBag,6.453,ProcessLitterbags,g,Steve Allison
11ALA3A,FullBag,20.42,ProcessLitterbags,g,Steve Allison
11ALA3B,FullBag,20.66,ProcessLitterbags,g,Steve Allison
11ALB1A,FullBag,9.24,ProcessLitterbags,g,Steve Allison
11ALB1B,FullBag,9.84,ProcessLitterbags,g,Steve Allison
11ALB2A,FullBag,6.485,ProcessLitterbags,g,Steve Allison
11ALB2B,FullBag,6.38,ProcessLitterbags,g,Steve Allison
11ALB3A,FullBag,20.08,ProcessLitterbags,g,Steve Allison
11ALB3B,FullBag,20.64,ProcessLitterbags,g,Steve Allison
11ARA1A,FullBag,10.35,ProcessLitterbags,g,Steve Allison
11ARA1B,FullBag,11.53,ProcessLitterbags,g,Steve Allison
11ARA1C,FullBag,10.3,ProcessLitterbags,g,Steve Allison
11ARA2A,FullBag,6.52,ProcessLitterbags,g,Steve Allison
11ARA2B,FullBag,6.673,ProcessLitterbags,g,Steve Allison
11ARA2C,FullBag,6.497,ProcessLitterbags,g,Steve Allison
11ARA3A,FullBag,20.03,ProcessLitterbags,g,Steve Allison
11ARA3B,FullBag,19.99,ProcessLitterbags,g,Steve Allison
11ARA3C,FullBag,20.04,ProcessLitterbags,g,Steve Allison
11ARB1A,FullBag,10.98,ProcessLitterbags,g,Steve Allison
11ARB1B,FullBag,10.96,ProcessLitterbags,g,Steve Allison
11ARB2A,FullBag,6.611,ProcessLitterbags,g,Steve Allison
11ARB2B,FullBag,6.556,ProcessLitterbags,g,Steve Allison
11ARB3A,FullBag,20.09,ProcessLitterbags,g,Steve Allison
11ARB3B,FullBag,19.7,ProcessLitterbags,g,Steve Allison
11ARC1A,FullBag,10.57,ProcessLitterbags,g,Steve Allison
11ARC1C,FullBag,9.4,ProcessLitterbags,g,Steve Allison
11ARC2A,FullBag,6.484,ProcessLitterbags,g,Steve Allison
11ARC2C,FullBag,6.651,ProcessLitterbags,g,Steve Allison
11ARC3A,FullBag,19.7,ProcessLitterbags,g,Steve Allison
11ARC3C,FullBag,20.03,ProcessLitterbags,g,Steve Allison
11C31,FullBag,20.2169,ProcessLitterbags,g,Steve Allison
11C32,FullBag,20.2348,ProcessLitterbags,g,Steve Allison
11C33,FullBag,20.2164,ProcessLitterbags,g,Steve Allison
11C34,FullBag,20.2541,ProcessLitterbags,g,Steve Allison
11CLA1A,FullBag,9.99,ProcessLitterbags,g,Steve Allison
11CLA1C,FullBag,9.99,ProcessLitterbags,g,Steve Allison
11CLA2A,FullBag,6.574,ProcessLitterbags,g,Steve Allison
11CLA2C,FullBag,6.768,ProcessLitterbags,g,Steve Allison
11CLA3A,FullBag,21.24,ProcessLitterbags,g,Steve Allison
11CLA3C,FullBag,20.18,ProcessLitterbags,g,Steve Allison
11CLC1A,FullBag,8.25,ProcessLitterbags,g,Steve Allison
11CLC1C,FullBag,8.74,ProcessLitterbags,g,Steve Allison
11CLC2A,FullBag,6.756,ProcessLitterbags,g,Steve Allison
11CLC2C,FullBag,6.697,ProcessLitterbags,g,Steve Allison
11CLC3A,FullBag,20.43,ProcessLitterbags,g,Steve Allison
11CLC3C,FullBag,20.31,ProcessLitterbags,g,Steve Allison
11DLA1A,FullBag,10.85,ProcessLitterbags,g,Steve Allison
11DLA1B,FullBag,9.02,ProcessLitterbags,g,Steve Allison
11DLA1C,FullBag,9.3,ProcessLitterbags,g,Steve Allison
11DLA2A,FullBag,6.958,ProcessLitterbags,g,Steve Allison
11DLA2B,FullBag,6.59,ProcessLitterbags,g,Steve Allison
11DLA2C,FullBag,7.264,ProcessLitterbags,g,Steve Allison
11DLA3A,FullBag,20.15,ProcessLitterbags,g,Steve Allison
11DLA3B,FullBag,20.86,ProcessLitterbags,g,Steve Allison
11DLA3C,FullBag,19.86,ProcessLitterbags,g,Steve Allison
11DLB1A,FullBag,10.79,ProcessLitterbags,g,Steve Allison
11DLB1B,FullBag,9.47,ProcessLitterbags,g,Steve Allison
11DLB2A,FullBag,6.641,ProcessLitterbags,g,Steve Allison
11DLB2B,FullBag,7.516,ProcessLitterbags,g,Steve Allison
11DLB3A,FullBag,20.02,ProcessLitterbags,g,Steve Allison
11DLB3B,FullBag,19.9,ProcessLitterbags,g,Steve Allison
11DLC1A,FullBag,10.46,ProcessLitterbags,g,Steve Allison
11DLC1C,FullBag,9.41,ProcessLitterbags,g,Steve Allison
11DLC2A,FullBag,6.55,ProcessLitterbags,g,Steve Allison
11DLC2C,FullBag,6.773,ProcessLitterbags,g,Steve Allison
11DLC3A,FullBag,20.245,ProcessLitterbags,g,Steve Allison
11DLC3C,FullBag,20.505,ProcessLitterbags,g,Steve Allison
11DRA1A,FullBag,10.87,ProcessLitterbags,g,Steve Allison
11DRA1B,FullBag,9.73,ProcessLitterbags,g,Steve Allison
11DRA2A,FullBag,6.574,ProcessLitterbags,g,Steve Allison
11DRA2B,FullBag,6.501,ProcessLitterbags,g,Steve Allison
11DRA3A,FullBag,19.838,ProcessLitterbags,g,Steve Allison
11DRA3B,FullBag,20.244,ProcessLitterbags,g,Steve Allison
11DRB1A,FullBag,8.78,ProcessLitterbags,g,Steve Allison
11DRB1B,FullBag,8.59,ProcessLitterbags,g,Steve Allison
11DRB2A,FullBag,6.756,ProcessLitterbags,g,Steve Allison
11DRB2B,FullBag,6.163,ProcessLitterbags,g,Steve Allison
11DRB3A,FullBag,20.698,ProcessLitterbags,g,Steve Allison
11DRB3B,FullBag,20.155,ProcessLitterbags,g,Steve Allison
11ERA1A,FullBag,11.08,ProcessLitterbags,g,Steve Allison
11ERA1C,FullBag,8.59,ProcessLitterbags,g,Steve Allison
11ERA2A,FullBag,6.567,ProcessLitterbags,g,Steve Allison
11ERA2C,FullBag,6.686,ProcessLitterbags,g,Steve Allison
11ERA3A,FullBag,20.924,ProcessLitterbags,g,Steve Allison
11ERA3C,FullBag,19.999,ProcessLitterbags,g,Steve Allison
11ERC1A,FullBag,8.71,ProcessLitterbags,g,Steve Allison
11ERC1C,FullBag,9.8,ProcessLitterbags,g,Steve Allison
11ERC2A,FullBag,6.786,ProcessLitterbags,g,Steve Allison
11ERC2C,FullBag,6.539,ProcessLitterbags,g,Steve Allison
11ERC3A,FullBag,20.047,ProcessLitterbags,g,Steve Allison
11ERC3C,FullBag,20.508,ProcessLitterbags,g,Steve Allison
11GLA1A,FullBag,10.61,ProcessLitterbags,g,Steve Allison
11GLA1C,FullBag,10.68,ProcessLitterbags,g,Steve Allison
11GLA2A,FullBag,6.831,ProcessLitterbags,g,Steve Allison
11GLA2C,FullBag,6.576,ProcessLitterbags,g,Steve Allison
11GLA3A,FullBag,19.918,ProcessLitterbags,g,Steve Allison
11GLA3C,FullBag,19.864,ProcessLitterbags,g,Steve Allison
11GLC1A,FullBag,9.85,ProcessLitterbags,g,Steve Allison
11GLC1C,FullBag,11.07,ProcessLitterbags,g,Steve Allison
11GLC2A,FullBag,6.856,ProcessLitterbags,g,Steve Allison
11GLC2C,FullBag,6.829,ProcessLitterbags,g,Steve Allison
11GLC3A,FullBag,19.662,ProcessLitterbags,g,Steve Allison
11GLC3C,FullBag,19.99,ProcessLitterbags,g,Steve Allison
11HLA1A,FullBag,10.49,ProcessLitterbags,g,Steve Allison
