Plot_ID,Plot_Name,Location_Name,Precipitation_Treatment,Nitrogen_Treatment,Block,Lab_Group
G01LXN,G01LXN,Loma Ridge,X,N,1,Steve Allison
G01RXX,G01RXX,Loma Ridge,X,X,1,Steve Allison
G02LAX,G02LAX,Loma Ridge,A,X,1,Steve Allison
G02RAN,G02RAN,Loma Ridge,A,N,1,Steve Allison
G03LRX,G03LRX,Loma Ridge,R,X,1,Steve Allison
G03RRN,G03RRN,Loma Ridge,R,N,1,Steve Allison
G04LXX,G04LXX,Loma Ridge,X,X,2,Steve Allison
G04RXN,G04RXN,Loma Ridge,X,N,2,Steve Allison
G05LRN,G05LRN,Loma Ridge,R,N,2,Steve Allison
G05RRX,G05RRX,Loma Ridge,R,X,2,Steve Allison
G06LAN,G06LAN,Loma Ridge,A,N,2,Steve Allison
G06RAX,G06RAX,Loma Ridge,A,X,2,Steve Allison
G07LRX,G07LRX,Loma Ridge,R,X,3,Steve Allison
G07RRN,G07RRN,Loma Ridge,R,N,3,Steve Allison
G08LXX,G08LXX,Loma Ridge,X,X,3,Steve Allison
G08RXN,G08RXN,Loma Ridge,X,N,3,Steve Allison
G09LAX,G09LAX,Loma Ridge,A,X,3,Steve Allison
G09RAN,G09RAN,Loma Ridge,A,N,3,Steve Allison
G10LAX,G10LAX,Loma Ridge,A,X,4,Steve Allison
G10RAN,G10RAN,Loma Ridge,A,N,4,Steve Allison
G11LRN,G11LRN,Loma Ridge,R,N,4,Steve Allison
G11RRX,G11RRX,Loma Ridge,R,X,4,Steve Allison
G12LXN,G12LXN,Loma Ridge,X,N,4,Steve Allison
G12RXX,G12RXX,Loma Ridge,X,X,4,Steve Allison
G13LAX,G13LAX,Loma Ridge,A,X,5,Steve Allison
G13RAN,G13RAN,Loma Ridge,A,N,5,Steve Allison
G14LRN,G14LRN,Loma Ridge,R,N,5,Steve Allison
G14RRX,G14RRX,Loma Ridge,R,X,5,Steve Allison
G15LRN,G15LRN,Loma Ridge,R,N,6,Steve Allison
G15RRX,G15RRX,Loma Ridge,R,X,6,Steve Allison
G16LXN,G16LXN,Loma Ridge,X,N,6,Steve Allison
G16RXX,G16RXX,Loma Ridge,X,X,6,Steve Allison
G17LAN,G17LAN,Loma Ridge,A,N,6,Steve Allison
G17RAX,G17RAX,Loma Ridge,A,X,6,Steve Allison
G18LXN,G18LXN,Loma Ridge,X,N,5,Steve Allison
G18RXX,G18RXX,Loma Ridge,X,X,5,Steve Allison
G19LXX,G19LXX,Loma Ridge,X,X,7,Steve Allison
G19RXN,G19RXN,Loma Ridge,X,N,7,Steve Allison
G20LRX,G20LRX,Loma Ridge,R,X,7,Steve Allison
G20RRN,G20RRN,Loma Ridge,R,N,7,Steve Allison
G21LRX,G21LRX,Loma Ridge,R,X,8,Steve Allison
G21RRN,G21RRN,Loma Ridge,R,N,8,Steve Allison
G22LXX,G22LXX,Loma Ridge,X,X,8,Steve Allison
G22RXN,G22RXN,Loma Ridge,X,N,8,Steve Allison
G23LAX,G23LAX,Loma Ridge,A,X,8,Steve Allison
G23RAN,G23RAN,Loma Ridge,A,N,8,Steve Allison
G24LAN,G24LAN,Loma Ridge,A,N,7,Steve Allison
G24RAX,G24RAX,Loma Ridge,A,X,7,Steve Allison
