Measurement_Date,Env_ID,Value,Variable,Units
2010-07-06 13:40:00,X_Plots,0.254,Water_Input,mm
2010-07-06 14:20:00,X_Plots,0.254,Water_Input,mm
2010-07-06 15:40:00,X_Plots,0.254,Water_Input,mm
2010-07-06 16:40:00,X_Plots,0.254,Water_Input,mm
2010-07-07 12:40:00,X_Plots,0.254,Water_Input,mm
2010-07-16 01:00:00,X_Plots,0.254,Water_Input,mm
2010-07-16 01:20:00,X_Plots,0.508,Water_Input,mm
2010-09-08 15:20:00,X_Plots,0.254,Water_Input,mm
2010-09-08 17:00:00,X_Plots,0.254,Water_Input,mm
2010-09-08 22:20:00,X_Plots,0.254,Water_Input,mm
2010-10-04 12:00:00,X_Plots,0.254,Water_Input,mm
2010-10-04 16:20:00,X_Plots,0.254,Water_Input,mm
2010-10-04 17:00:00,X_Plots,0.254,Water_Input,mm
2010-10-04 17:20:00,X_Plots,0.254,Water_Input,mm
2010-10-04 17:40:00,X_Plots,0.254,Water_Input,mm
2010-10-04 18:00:00,X_Plots,0.254,Water_Input,mm
2010-10-04 18:20:00,X_Plots,0.254,Water_Input,mm
2010-10-04 18:40:00,X_Plots,0.254,Water_Input,mm
2010-10-04 19:20:00,X_Plots,0.254,Water_Input,mm
2010-10-04 20:20:00,X_Plots,0.254,Water_Input,mm
2010-10-04 20:40:00,X_Plots,0.254,Water_Input,mm
2010-10-04 21:00:00,X_Plots,0.254,Water_Input,mm
2010-10-04 21:20:00,X_Plots,0.508,Water_Input,mm
2010-10-04 21:40:00,X_Plots,0.508,Water_Input,mm
2010-10-04 22:00:00,X_Plots,0.508,Water_Input,mm
2010-10-04 22:20:00,X_Plots,0.254,Water_Input,mm
2010-10-05 00:40:00,X_Plots,0.254,Water_Input,mm
2010-10-05 07:20:00,X_Plots,0.254,Water_Input,mm
2010-10-05 22:20:00,X_Plots,0.254,Water_Input,mm
2010-10-06 00:00:00,X_Plots,0.254,Water_Input,mm
2010-10-06 02:20:00,X_Plots,0.508,Water_Input,mm
2010-10-06 13:00:00,X_Plots,0.254,Water_Input,mm
2010-10-06 14:00:00,X_Plots,0.254,Water_Input,mm
2010-10-06 14:40:00,X_Plots,0.254,Water_Input,mm
2010-10-06 15:40:00,X_Plots,0.254,Water_Input,mm
2010-10-06 16:00:00,X_Plots,0.508,Water_Input,mm
2010-10-06 16:20:00,X_Plots,0.508,Water_Input,mm
2010-10-06 16:40:00,X_Plots,0.254,Water_Input,mm
2010-10-06 17:00:00,X_Plots,0.508,Water_Input,mm
2010-10-06 17:20:00,X_Plots,0.762,Water_Input,mm
2010-10-06 17:40:00,X_Plots,0.508,Water_Input,mm
2010-10-06 19:00:00,X_Plots,0.254,Water_Input,mm
2010-10-06 20:20:00,X_Plots,1.27,Water_Input,mm
2010-10-06 20:40:00,X_Plots,0.254,Water_Input,mm
2010-10-16 06:20:00,X_Plots,0.254,Water_Input,mm
2010-10-16 08:20:00,X_Plots,0.254,Water_Input,mm
2010-10-16 11:40:00,X_Plots,0.254,Water_Input,mm
2010-10-16 13:40:00,X_Plots,0.254,Water_Input,mm
2010-10-16 15:20:00,X_Plots,0.254,Water_Input,mm
