Measurement_Date,Env_ID,Value,Variable,Units
2009-10-11,X_Plots,0.25,Water_Input,mm
2009-10-15,X_Plots,4.78,Water_Input,mm
2009-10-16,X_Plots,1.25,Water_Input,mm
2009-11-30,X_Plots,0.25,Water_Input,mm
2009-12-08,X_Plots,1,Water_Input,mm
2009-12-09,X_Plots,24.57,Water_Input,mm
2009-12-12,X_Plots,0.75,Water_Input,mm
2009-12-13,X_Plots,3.52,Water_Input,mm
2009-12-14,X_Plots,29.35,Water_Input,mm
2009-12-23,X_Plots,3.048,Water_Input,mm
2010-01-01,X_Plots,2.794,Water_Input,mm
2010-01-14,X_Plots,1.016,Water_Input,mm
2010-01-15,X_Plots,0.508,Water_Input,mm
2010-01-19,X_Plots,8.382,Water_Input,mm
2010-01-20,X_Plots,35.306,Water_Input,mm
2010-01-21,X_Plots,22.098,Water_Input,mm
2010-01-22,X_Plots,34.036,Water_Input,mm
2010-01-23,X_Plots,44.958,Water_Input,mm
2010-01-24,X_Plots,11.938,Water_Input,mm
2010-01-28,X_Plots,8.89,Water_Input,mm
2010-02-07,X_Plots,42.418,Water_Input,mm
2010-02-08,X_Plots,11.684,Water_Input,mm
2010-02-11,X_Plots,7.62,Water_Input,mm
2010-02-21,X_Plots,3.81,Water_Input,mm
2010-02-22,X_Plots,0.254,Water_Input,mm
2010-02-23,X_Plots,2.286,Water_Input,mm
2010-02-24,X_Plots,0.254,Water_Input,mm
2010-02-26,X_Plots,0.508,Water_Input,mm
2010-02-28,X_Plots,8.636,Water_Input,mm
2010-03-01,X_Plots,17.78,Water_Input,mm
2010-03-05,X_Plots,6.096,Water_Input,mm
2010-03-08,X_Plots,9.144,Water_Input,mm
2010-03-09,X_Plots,1.27,Water_Input,mm
2010-04-06,X_Plots,2.286,Water_Input,mm
2010-04-07,X_Plots,5.08,Water_Input,mm
2010-04-13,X_Plots,19.05,Water_Input,mm
2010-04-14,X_Plots,5.334,Water_Input,mm
2010-04-22,X_Plots,2.286,Water_Input,mm
2010-04-23,X_Plots,6.096,Water_Input,mm
2010-04-27,X_Plots,0.254,Water_Input,mm
2010-04-29,X_Plots,1.27,Water_Input,mm
2010-05-18,X_Plots,0.762,Water_Input,mm
2010-05-19,X_Plots,0.508,Water_Input,mm
2010-05-31,X_Plots,2.286,Water_Input,mm
2010-07-06,X_Plots,1.016,Water_Input,mm
2010-07-07,X_Plots,0.254,Water_Input,mm
2010-07-16,X_Plots,0.762,Water_Input,mm
2010-09-08,X_Plots,0.254,Water_Input,mm
